"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Aggressive Mammoth","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","302","False","False","0.32"
"5","5","Ajani's Pridemate","war","Near Mint","English","","","2025-07-15 00:03:05.683000","4","False","False","0.11"
"1","1","Arcane Flight","dom","Near Mint","English","","","2025-07-15 00:03:05.683000","43","False","False","0.08"
"1","1","Archon of the Triumvirate","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","7","False","False","0.14"
"2","2","Archway Angel","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","3","False","False","0.05"
"3","3","Arrester's Admonition","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","31","False","False","0.05"
"2","2","Arrester's Zeal","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","4","False","False","0.04"
"2","2","Ashiok's Skulker","war","Near Mint","English","","","2025-07-15 00:03:05.683000","40","False","False","0.04"
"2","2","Augur of Bolas","war","Near Mint","English","","","2025-07-15 00:03:05.683000","41","False","False","0.19"
"2","2","Aven Eternal","war","Near Mint","English","","","2025-07-15 00:03:05.683000","42","False","False","0.06"
"4","4","Azorius Chancery","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","25","False","False","0.20"
"1","1","Azorius Charm","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","8","False","False","0.35"
"3","3","Azorius Guildgate","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","244","False","False","0.07"
"6","6","Azorius Guildgate","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","243","False","False","0.05"
"1","1","Azorius Guildmage","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","9","False","False","0.43"
"1","1","Azorius Herald","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","2","False","False","0.15"
"1","1","Azorius Justiciar","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","3","False","False","0.11"
"1","1","Azorius Keyrune","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","23","False","False","0.27"
"2","2","Azorius Knight-Arbiter","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","154","False","False","0.08"
"3","3","Azorius Locket","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","231","False","False","0.06"
"1","1","Azorius Signet","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","24","False","False","0.38"
"1","1","Azorius Signet","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","24","False","False","0.38"
"2","2","Azorius Skyguard","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","155","False","False","0.08"
"1","1","Barrier of Bones","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","61","False","False","0.07"
"2","2","Battlefield Promotion","war","Near Mint","English","","","2025-07-15 00:03:05.683000","5","False","False","0.05"
"1","1","Beacon Bolt","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","154","False","False","0.15"
"1","1","Befuddle","dom","Near Mint","English","","","2025-07-15 00:03:05.683000","45","False","False","0.03"
"1","1","Biomancer's Familiar","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","158","False","False","0.65"
"5","5","Bird","tgk2","Near Mint","English","","","2025-07-15 00:03:05.683000","1","False","False","1.06"
"1","1","Blade Instructor","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","1","False","False","0.02"
"3","3","Blade Juggler","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","63","False","False","0.07"
"1","1","Blood Crypt","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","245","False","False","13.68"
"1","1","Blood Divination","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","86","False","False","0.07"
"5","5","Bond of Discipline","war","Near Mint","English","","","2025-07-15 00:03:05.683000","6","False","False","0.13"
"4","4","Bond of Insight","war","Near Mint","English","","","2025-07-15 00:03:05.683000","43","False","False","0.24"
"1","1","Boros Challenger","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","156","False","False","0.06"
"1","1","Boros Guildgate","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","243","False","False","0.07"
"1","1","Boros Guildgate","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","244","False","False","0.06"
"1","1","Boros Locket","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","231","False","False","0.09"
"2","2","Bulwark Giant","war","Near Mint","English","","","2025-07-15 00:03:05.683000","7","False","False","0.03"
"1","1","Burglar Rat","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","64","False","False","0.06"
"1","1","Burn Bright","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","93","False","False","0.02"
"4","4","Callous Dismissal","war","Near Mint","English","","","2025-07-15 00:03:05.683000","44","False","False","0.07"
"1","1","Carrion Imp","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","66","False","False","0.02"
"1","1","Cavalcade of Calamity","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","95","False","False","0.15"
"1","1","Centaur Courser","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","171","False","False","0.02"
"4","4","Charmed Stray","war","Near Mint","English","","","2025-07-15 00:03:05.683000","8","False","False","0.11"
"1","1","Chemister's Insight","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","32","False","False","0.07"
"1","1","Child of Night","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","65","False","False","0.06"
"1","1","Chillbringer","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","33","False","False","0.02"
"1","1","Circuitous Route","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","125","False","False","0.49"
"2","2","Civic Stalwart","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","6","False","False","0.05"
"1","1","Clamor Shaman","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","96","False","False","0.10"
"1","1","Clan Guildmage","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","162","False","False","0.04"
"1","1","Clear the Mind","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","34","False","False","0.09"
"1","1","Commence the Endgame","war","Near Mint","English","","","2025-07-15 00:03:05.683000","45","False","False","0.23"
"1","1","Conclave Cavalier","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","161","False","False","0.06"
"1","1","Conclave Tribunal","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","6","False","False","0.06"
