Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Emergence Zone,WAR,War of the Spark,245,normal,uncommon,2,44159,ab95f6e7-b806-47fe-a071-6c38b3176d94,2.13,false,false,near_mint,en,USD
Gateway Plaza,WAR,War of the Spark,246,normal,common,2,44158,81d69cf2-8643-4926-857e-febbd54d870f,0.07,false,false,near_mint,en,USD
Azorius Guildgate,RNA,Ravnica Allegiance,243,normal,common,6,43622,93cf5412-c711-41b4-ab3b-7788a0a22228,0.05,false,false,near_mint,en,USD
Azorius Guildgate,RNA,Ravnica Allegiance,244,normal,common,3,43621,e52013ba-9b17-497b-a844-1e7eb5607019,0.07,false,false,near_mint,en,USD
Azorius Chancery,GK2,RNA Guild Kit,25,normal,uncommon,4,43996,eed7cbd5-c462-40c3-8a79-ce5e95561116,0.2,false,false,near_mint,en,USD
Island,M19,Core Set 2019,265,normal,common,5,1047,91890c11-b139-474d-b12d-6afd6b7e6aee,0.06,false,false,near_mint,en,USD
Island,M19,Core Set 2019,268,normal,common,5,1044,e3a0c382-23c4-44a5-a689-1f65fed388b7,0.11,false,false,near_mint,en,USD
Plains,M19,Core Set 2019,264,normal,common,5,1048,3645e11b-6b46-44c0-9741-f70da15692d1,0.07,false,false,near_mint,en,USD
Plains,M19,Core Set 2019,263,normal,common,5,1049,1859ba05-06bc-4e80-8c0b-fd2475c6ca55,0.1,false,false,near_mint,en,USD
Depose // Deploy,RNA,Ravnica Allegiance,225,normal,uncommon,1,43640,ab0ba4ef-9e82-4177-a80f-8fa6f6a5bd60,0.08,false,false,near_mint,en,USD
Warrant // Warden,RNA,Ravnica Allegiance,230,normal,rare,1,43635,0070651d-79aa-4ea6-b703-6ecd3528b548,0.12,false,false,near_mint,en,USD
Azorius Signet,GK2,RNA Guild Kit,24,normal,uncommon,1,43997,37063666-e5e1-4ef0-ac34-2ae47b323dde,0.38,false,false,near_mint,en,USD
Shield of the Realm,DOM,Dominaria,228,normal,uncommon,1,2048,7207edf8-8534-4982-969f-df97febcb9fc,0.09,false,false,near_mint,en,USD
Dramatic Rescue,GK2,RNA Guild Kit,12,normal,common,1,44009,416e6241-72c6-4d6d-b839-d96c35695b9d,0.13,false,false,near_mint,en,USD
